manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
ford,mustang,3.8,1999,6,manual(m5),r,18,26,r,subcompact
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
toyota,camry solara,2.2,1999,4,auto(l4),f,21,27,r,compact
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
audi,a4,2.8,1999,6,auto(l5),f,16,26,p,compact
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
subaru,impreza awd,2.5,2008,4,manual(m5),4,19,25,p,compact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
volkswagen,gti,2,2008,4,manual(m6),f,21,29,p,compact
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
toyota,toyota tacoma 4wd,2.7,2008,4,manual(m5),4,17,22,r,pickup
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
