manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
dodge,dakota pickup 4wd,5.2,1999,8,manual(m5),4,11,17,r,pickup
subaru,forester awd,2.5,2008,4,manual(m5),4,20,27,r,suv
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
ford,explorer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
