manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,corvette,5.7,1999,8,auto(l4),r,15,23,p,2seater
chevrolet,k1500 tahoe 4wd,5.7,1999,8,auto(l4),4,11,15,r,suv
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
audi,a4 quattro,2.8,1999,6,auto(l5),4,15,25,p,compact
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
honda,civic,2,2008,4,manual(m6),f,21,29,p,subcompact
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
dodge,durango 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
