manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
volkswagen,new beetle,2,1999,4,auto(l4),f,19,26,r,subcompact
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
hyundai,tiburon,2.7,2008,6,manual(m6),f,16,24,r,subcompact
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
audi,a6 quattro,4.2,2008,8,auto(s6),4,16,23,p,midsize
jeep,grand cherokee 4wd,3,2008,6,auto(l5),4,17,22,d,suv
honda,civic,1.6,1999,4,manual(m5),f,25,32,r,subcompact
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
land rover,range rover,4,1999,8,auto(l4),4,11,15,p,suv
ford,f150 pickup 4wd,5.4,2008,8,auto(l4),4,13,17,r,pickup
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
