manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
ford,mustang,4.6,1999,8,auto(l4),r,15,21,r,subcompact
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
