manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
dodge,dakota pickup 4wd,3.9,1999,6,auto(l4),4,13,17,r,pickup
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
toyota,4runner 4wd,3.4,1999,6,auto(l4),4,15,19,r,suv
toyota,camry,3,1999,6,auto(l4),f,18,26,r,midsize
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
hyundai,sonata,2.4,2008,4,auto(l4),f,21,30,r,midsize
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
volkswagen,jetta,2,1999,4,auto(l4),f,19,26,r,compact
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
