manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,expedition 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
toyota,toyota tacoma 4wd,3.4,1999,6,manual(m5),4,15,17,r,pickup
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
volkswagen,new beetle,2,1999,4,manual(m5),f,21,29,r,subcompact
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
mercury,mountaineer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
toyota,land cruiser wagon 4wd,4.7,1999,8,auto(l4),4,11,15,r,suv
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
