manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
subaru,impreza awd,2.5,1999,4,manual(m5),4,19,26,r,subcompact
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
subaru,impreza awd,2.5,2008,4,auto(s4),4,20,25,p,compact
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
honda,civic,1.6,1999,4,auto(l4),f,24,32,r,subcompact
dodge,ram 1500 pickup 4wd,5.7,2008,8,auto(l5),4,13,17,r,pickup
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
land rover,range rover,4.2,2008,8,auto(s6),4,12,18,r,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
hyundai,sonata,2.5,1999,6,auto(l4),f,18,26,r,midsize
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,11,14,e,suv
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
mercury,mountaineer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
