manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
chevrolet,c1500 suburban 2wd,6,2008,8,auto(l4),r,12,17,r,suv
dodge,dakota pickup 4wd,3.7,2008,6,auto(l4),4,14,18,r,pickup
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
ford,explorer 4wd,4.6,2008,8,auto(l6),4,13,19,r,suv
pontiac,grand prix,3.1,1999,6,auto(l4),f,18,26,r,midsize
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,14,19,r,pickup
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,9,12,e,pickup
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
toyota,camry solara,3.3,2008,6,auto(s5),f,18,27,r,compact
dodge,ram 1500 pickup 4wd,5.2,1999,8,manual(m5),4,11,16,r,pickup
volkswagen,jetta,2.5,2008,5,auto(s6),f,21,29,r,compact
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
