manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
volkswagen,new beetle,2.5,2008,5,auto(s6),f,20,29,r,subcompact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
toyota,land cruiser wagon 4wd,5.7,2008,8,auto(s6),4,13,18,r,suv
toyota,4runner 4wd,3.4,1999,6,manual(m5),4,15,17,r,suv
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
honda,civic,1.8,2008,4,manual(m5),f,26,34,r,subcompact
ford,mustang,4,2008,6,auto(l5),r,16,24,r,subcompact
jeep,grand cherokee 4wd,4,1999,6,auto(l4),4,15,20,r,suv
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
mercury,mountaineer 4wd,4,2008,6,auto(l5),4,13,19,r,suv
hyundai,sonata,2.4,2008,4,manual(m5),f,21,31,r,midsize
