manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,11,15,e,suv
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
dodge,caravan 2wd,3.3,2008,6,auto(l4),f,17,24,r,minivan
nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
audi,a4,2,2008,4,manual(m6),f,20,31,p,compact
dodge,durango 4wd,5.9,1999,8,auto(l4),4,11,15,r,suv
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
ford,explorer 4wd,4,1999,6,auto(l5),4,14,17,r,suv
nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
volkswagen,jetta,2,2008,4,auto(s6),f,22,29,p,compact
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
subaru,impreza awd,2.5,1999,4,auto(l4),4,19,26,r,subcompact
toyota,corolla,1.8,2008,4,auto(l4),f,26,35,r,compact
ford,mustang,4.6,2008,8,manual(m5),r,15,23,r,subcompact
