manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
toyota,toyota tacoma 4wd,4,2008,6,manual(m6),4,15,18,r,pickup
toyota,toyota tacoma 4wd,3.4,1999,6,auto(l4),4,15,19,r,pickup
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
subaru,impreza awd,2.5,2008,4,manual(m5),4,20,27,r,compact
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,22,r,minivan
toyota,camry solara,3,1999,6,auto(l4),f,18,26,r,compact
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
jeep,grand cherokee 4wd,4.7,1999,8,auto(l4),4,14,17,r,suv
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact
toyota,4runner 4wd,2.7,1999,4,auto(l4),4,16,20,r,suv
toyota,toyota tacoma 4wd,2.7,1999,4,auto(l4),4,16,20,r,pickup
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
volkswagen,gti,2,2008,4,auto(s6),f,22,29,p,compact
