manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,f150 pickup 4wd,4.6,1999,8,manual(m5),4,13,16,r,pickup
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact
ford,mustang,4.6,2008,8,auto(l5),r,15,22,r,subcompact
volkswagen,new beetle,1.9,1999,4,manual(m5),f,35,44,d,subcompact
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
hyundai,tiburon,2,1999,4,manual(m5),f,19,29,r,subcompact
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
ford,mustang,3.8,1999,6,auto(l4),r,18,25,r,subcompact
jeep,grand cherokee 4wd,3.7,2008,6,auto(l5),4,15,19,r,suv
volkswagen,gti,2.8,1999,6,manual(m5),f,17,24,r,compact
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
chevrolet,corvette,6.2,2008,8,manual(m6),r,16,26,p,2seater
lincoln,navigator 2wd,5.4,2008,8,auto(l6),r,12,18,r,suv
chevrolet,malibu,2.4,1999,4,auto(l4),f,19,27,r,midsize
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
dodge,caravan 2wd,2.4,1999,4,auto(l3),f,18,24,r,minivan
volkswagen,jetta,1.9,1999,4,manual(m5),f,33,44,d,compact
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
audi,a4 quattro,2,2008,4,manual(m6),4,20,28,p,compact
jeep,grand cherokee 4wd,6.1,2008,8,auto(l5),4,11,14,p,suv
