manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,f150 pickup 4wd,4.6,2008,8,auto(l4),4,13,17,r,pickup
hyundai,tiburon,2.7,2008,6,manual(m5),f,17,24,r,subcompact
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,9,12,e,suv
subaru,forester awd,2.5,2008,4,auto(l4),4,18,23,p,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
volkswagen,jetta,2.8,1999,6,auto(l4),f,16,23,r,compact
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact
nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
audi,a4 quattro,3.1,2008,6,auto(s6),4,17,25,p,compact
toyota,camry,2.2,1999,4,manual(m5),f,21,29,r,midsize
hyundai,sonata,2.4,1999,4,auto(l4),f,18,26,r,midsize
toyota,corolla,1.8,1999,4,auto(l4),f,24,33,r,compact
hyundai,tiburon,2.7,2008,6,auto(l4),f,17,24,r,subcompact
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
toyota,toyota tacoma 4wd,2.7,1999,4,manual(m5),4,15,20,r,pickup
volkswagen,gti,2,1999,4,manual(m5),f,21,29,r,compact
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
toyota,camry solara,2.4,2008,4,manual(m5),f,21,31,r,compact
toyota,camry solara,3,1999,6,manual(m5),f,18,26,r,compact
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
