manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
ford,mustang,5.4,2008,8,manual(m6),r,14,20,p,subcompact
toyota,camry,3.5,2008,6,auto(s6),f,19,28,r,midsize
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
toyota,4runner 4wd,2.7,1999,4,manual(m5),4,15,20,r,suv
chevrolet,malibu,3.5,2008,6,auto(l4),f,18,29,r,midsize
ford,explorer 4wd,4,1999,6,manual(m5),4,15,19,r,suv
chevrolet,c1500 suburban 2wd,5.3,2008,8,auto(l4),r,14,20,r,suv
subaru,forester awd,2.5,1999,4,auto(l4),4,18,24,r,suv
audi,a4,2.8,1999,6,manual(m5),f,18,26,p,compact
pontiac,grand prix,5.3,2008,8,auto(s4),f,16,25,p,midsize
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
ford,mustang,4,2008,6,manual(m5),r,17,26,r,subcompact
nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
audi,a4 quattro,3.1,2008,6,manual(m6),4,15,25,p,compact
chevrolet,k1500 tahoe 4wd,6.5,1999,8,auto(l4),4,14,17,d,suv
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
dodge,caravan 2wd,3.8,1999,6,auto(l4),f,15,21,r,minivan
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
audi,a4 quattro,2.8,1999,6,manual(m5),4,17,25,p,compact
