manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
volkswagen,gti,2,1999,4,auto(l4),f,19,26,r,compact
dodge,dakota pickup 4wd,3.9,1999,6,manual(m5),4,14,17,r,pickup
ford,f150 pickup 4wd,4.2,1999,6,manual(m5),4,14,17,r,pickup
jeep,grand cherokee 4wd,4.7,2008,8,auto(l5),4,14,19,r,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,16,26,p,midsize
toyota,corolla,1.8,1999,4,auto(l3),f,24,30,r,compact
land rover,range rover,4.4,2008,8,auto(s6),4,12,18,r,suv
honda,civic,1.6,1999,4,manual(m5),f,23,29,p,subcompact
ford,explorer 4wd,5,1999,8,auto(l4),4,13,17,r,suv
pontiac,grand prix,3.8,1999,6,auto(l4),f,17,27,r,midsize
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
audi,a6 quattro,2.8,1999,6,auto(l5),4,15,24,p,midsize
chevrolet,malibu,3.6,2008,6,auto(s6),f,17,26,r,midsize
volkswagen,passat,2,2008,4,manual(m6),f,21,29,p,midsize
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
dodge,ram 1500 pickup 4wd,4.7,2008,8,auto(l5),4,13,17,r,pickup
nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
volkswagen,passat,3.6,2008,6,auto(s6),f,17,26,p,midsize
dodge,caravan 2wd,4,2008,6,auto(l6),f,16,23,r,minivan
pontiac,grand prix,3.8,2008,6,auto(l4),f,18,28,r,midsize
