manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
lincoln,navigator 2wd,5.4,1999,8,auto(l4),r,11,16,p,suv
toyota,camry,2.4,2008,4,manual(m5),f,21,31,r,midsize
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
hyundai,sonata,3.3,2008,6,auto(l5),f,19,28,r,midsize
chevrolet,k1500 tahoe 4wd,5.3,2008,8,auto(l4),4,14,19,r,suv
nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
dodge,dakota pickup 4wd,4.7,2008,8,auto(l5),4,9,12,e,pickup
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
dodge,ram 1500 pickup 4wd,5.2,1999,8,auto(l4),4,11,15,r,pickup
toyota,camry,3,1999,6,manual(m5),f,18,26,r,midsize
dodge,ram 1500 pickup 4wd,5.9,1999,8,auto(l4),4,11,15,r,pickup
subaru,forester awd,2.5,1999,4,manual(m5),4,18,25,r,suv
audi,a4,1.8,1999,4,auto(l5),f,18,29,p,compact
honda,civic,1.6,1999,4,manual(m5),f,28,33,r,subcompact
audi,a4 quattro,1.8,1999,4,auto(l5),4,16,25,p,compact
dodge,caravan 2wd,3,1999,6,auto(l4),f,17,24,r,minivan
volkswagen,jetta,2,2008,4,manual(m6),f,21,29,p,compact
audi,a4 quattro,2,2008,4,auto(s6),4,19,27,p,compact
volkswagen,passat,2.8,1999,6,auto(l5),f,16,26,p,midsize
