manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
hyundai,tiburon,2,1999,4,auto(l4),f,19,26,r,subcompact
volkswagen,passat,2.8,1999,6,manual(m5),f,18,26,p,midsize
ford,expedition 2wd,5.4,1999,8,auto(l4),r,11,17,r,suv
toyota,camry,2.2,1999,4,auto(l4),f,21,27,r,midsize
dodge,ram 1500 pickup 4wd,4.7,2008,8,manual(m6),4,12,16,r,pickup
volkswagen,jetta,2,1999,4,manual(m5),f,21,29,r,compact
toyota,camry solara,2.2,1999,4,manual(m5),f,21,29,r,compact
jeep,grand cherokee 4wd,5.7,2008,8,auto(l5),4,13,18,r,suv
dodge,durango 4wd,4.7,2008,8,auto(l5),4,13,17,r,suv
dodge,durango 4wd,5.2,1999,8,auto(l4),4,11,16,r,suv
chevrolet,malibu,3.1,1999,6,auto(l4),f,18,26,r,midsize
audi,a4,2,2008,4,auto(av),f,21,30,p,compact
nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
subaru,forester awd,2.5,2008,4,manual(m5),4,19,25,p,suv
toyota,corolla,1.8,1999,4,manual(m5),f,26,35,r,compact
dodge,durango 4wd,3.9,1999,6,auto(l4),4,13,17,r,suv
volkswagen,new beetle,2.5,2008,5,manual(m5),f,20,28,r,subcompact
honda,civic,1.8,2008,4,auto(l5),f,24,36,c,subcompact
toyota,4runner 4wd,4.7,2008,8,auto(l5),4,14,17,r,suv
subaru,impreza awd,2.2,1999,4,manual(m5),4,19,26,r,subcompact
